compliance_id,veh_id,veh_name,market_class,fueling_class,techNo,base_year_market_share,market_class_share_frac,project_sales,base_year_msrp_dollars,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
McLaren,McL_1-0,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,0,8.557555848114157e-05,1.0,981.5585512058832,295630.38339552237,1.0,68.63404604665702,62.20986044665702,-6.424185600000001,-18.8,-5.0,0.3253051651628782,0.0,0.39651445442468025,315074.2555459904,317540.1202234047,136.970595858054,4496.855141476421,921.3130462904303,44.92605609537592
McLaren,McL_1-1,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,4,8.557555848114157e-05,1.0,981.5585512058832,295630.38339552237,1.0,72.73915061846483,66.31496501846483,-6.424185600000001,-18.8,-5.0,0.330073007829808,0.0,0.4012376516518341,316204.7738585188,318095.4905135393,138.97810855991918,4726.847352273712,964.8095688156588,47.92190303907381
McLaren,McL_1-2,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,8,8.557555848114157e-05,1.0,981.5585512058832,295630.38339552237,1.0,74.94400833043937,68.51982273043937,-6.424185600000001,-18.8,-5.0,0.33720482188543255,0.0,0.40824914042049143,317065.6687965774,318670.22991277784,141.9809776359716,5037.679220363171,1031.8851658501899,49.530976845151955
McLaren,McL_2-0,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0,8.557555848114157e-05,1.0,981.5585512058832,295630.38339552237,1.0,-26.48359446636252,35.54849168380401,62.03208615016652,317.6831681731734,331.48316817317334,0.0,355.703095243067,0.0,291221.93562806724,295055.5998704709,0.0,2734.7015615263417,559.2014268706123,44.92605609537592
McLaren,McL_2-1,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,7,8.557555848114157e-05,1.0,981.5585512058832,295630.38339552237,1.0,-19.503080565368883,35.54849168380401,55.05157224917289,281.93405978149013,295.73405978149015,0.0,331.2866602425179,0.0,292086.1046520245,295687.45415326115,0.0,2734.7015615263417,559.2014268706123,44.92605609537592
McLaren,McL_2-2,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,11,8.557555848114157e-05,1.0,981.5585512058832,295630.38339552237,1.0,-12.176962717523647,39.15418441739392,51.33114713491757,262.8807518790846,276.6807518790846,0.0,302.5773565970907,0.0,294947.65585124295,297354.8611590812,0.0,2898.6131019799313,592.7350865232206,49.530976845151955
Mercedes Benz,Mer_1-0,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,0,0.009641863810895107,1.0,103201.12896769994,95692.92912343048,0.9999999999999999,71.01030259133503,64.58611699133506,-6.424185600000003,-18.8,-4.999999999999999,0.23544191502032596,0.0,0.2940297790256603,77089.99379164512,79051.84807936805,99.13343790329513,4994.60754835443,390.91519774951655,46.64695517353363
Mercedes Benz,Mer_1-1,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,3,0.009641863810895107,1.0,103201.12896769994,95692.92912343048,0.9999999999999999,77.06697056652584,70.64278496652587,-6.424185600000003,-18.8,-4.999999999999999,0.23755315299011,0.0,0.29625057469114346,78453.01271797951,79539.33951630742,100.02238020636216,5184.279061913837,405.40601027240865,51.08106553884594
Mercedes Benz,Mer_1-2,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,5,0.009641863810895107,1.0,103201.12896769994,95692.92912343048,0.9999999999999999,77.08443384341776,70.6602482434178,-6.424185600000003,-18.8,-4.999999999999999,0.2376380628155681,0.0,0.2963384446992741,78505.83623259178,79560.0395206018,100.05813171181818,5191.236010035388,406.0467267528201,51.24391754895438
Mercedes Benz,Mer_1-3,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,7,0.009641863810895107,1.0,103201.12896769994,95692.92912343048,0.9999999999999999,77.09508321517096,70.67089761517097,-6.424185600000003,-18.8,-4.999999999999999,0.23773172788368324,0.0,0.2964349000558531,78565.98440713038,79585.46441813375,100.09756963523508,5198.688067745843,406.76952307388007,51.41998671051247
Mercedes Benz,Mer_2-0,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0,0.009641863810895107,1.0,103201.12896769994,95692.92912343048,0.9999999999999999,-12.845772252610196,36.90635256647714,49.75212481908734,254.79414955694514,268.5941495569451,0.0,297.15509028980387,0.0,61203.29095389438,64497.098234729754,0.0,3794.9172686028955,296.50677226848745,46.64695517353363
Mercedes Benz,Mer_2-1,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,6,0.009641863810895107,1.0,103201.12896769994,95692.92912343048,0.9999999999999999,-12.836088372609503,36.90635256647714,49.74244093908665,254.74455577621396,268.54455577621394,0.0,297.12261747801824,0.0,61203.6085951545,64497.10690734377,0.0,3794.9172686028955,296.50677226848745,46.64695517353363
Mercedes Benz,Mer_2-2,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,12,0.009641863810895107,1.0,103201.12896769994,95692.92912343048,0.9999999999999999,-12.659824820674121,36.90635256647714,49.56617738715127,253.84186223344432,267.64186223344433,0.0,296.49512358047446,0.0,61209.86331982402,64497.3912238686,0.0,3794.9172686028955,296.50677226848745,46.64695517353363
Mercedes Benz,Mer_2-3,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,18,0.009641863810895107,1.0,103201.12896769994,95692.92912343048,0.9999999999999999,-11.540470109529899,36.90635256647714,48.44682267600704,248.10934261311377,261.9093426131138,0.0,292.0305533050324,0.0,61255.29440765584,64500.34332212071,0.0,3794.9172686028955,296.50677226848745,46.64695517353363
Mercedes Benz,Mer_2-4,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,24,0.009641863810895107,1.0,103201.12896769994,95692.92912343048,0.9999999999999999,-11.053625237049681,36.90635256647714,47.95997780352683,245.61607773848138,259.41607773848125,0.0,290.51503950716386,0.0,61272.77865067998,64503.407925435815,0.0,3794.9172686028955,296.50677226848745,46.64695517353363
